Ref,Interested Party,Category,Description,Key IS Requirements & Expectations,Relevant Legal/Regulatory Basis,How Addressed in ISMS,Communication Method,Review Frequency,Owner
IP-001,Board of Directors / Supervisory Board,Internal,"Oversight body responsible for corporate governance and strategic direction","Strategic oversight of information security risks; assurance that ISMS protects shareholder value; compliance with fiduciary duties; transparency on cyber risks and incidents","German Stock Corporation Act (AktG), Corporate Governance Code","Board-level IS reporting (quarterly); ISMS performance metrics; annual audit reports; risk dashboard","Quarterly board presentations; annual ISMS review meetings; incident escalation protocols",Quarterly,CISO
IP-002,Executive Management (Vorstand),Internal,"Executive board responsible for day-to-day management and strategic implementation","Clear accountability for information security; adequate resourcing for ISMS; integration of IS into business strategy; crisis management preparedness","MaRisk (BaFin Minimum Requirements for Risk Management), BAIT (BaFin IT Supervisory Requirements)","ISMS management framework; annual management review; resource allocation process; crisis management plan","Monthly executive committee meetings; weekly security briefings during incidents",Monthly,CISO
IP-003,Chief Information Security Officer (CISO),Internal,"Senior executive responsible for ISMS implementation and security strategy","Authority to implement controls; access to resources; direct reporting line to board; independence in security decisions","ISO 27001 Clause 5 (Leadership), BAIT Section AT 7.2","Defined in ISMS roles & responsibilities; ISMS policy framework; annual security strategy","Direct reports to board and executive management; steering committee chair",Ongoing,CEO
IP-004,Data Protection Officer (DPO),Internal,"Independent function ensuring GDPR compliance and data protection","Alignment between ISMS controls and data protection requirements; data breach notification processes; privacy by design; records of processing activities (ROPA)","GDPR Articles 37-39, national data protection laws (BDSG Germany, etc.)","Integrated privacy and security governance; DPIA processes; breach notification procedures; joint training programs","Regular coordination meetings (bi-weekly); joint audits; incident coordination",Bi-weekly,CISO/DPO
IP-005,Chief Risk Officer (CRO) / Risk Management,Internal,"Responsible for enterprise risk management including operational and IT risks","Integration of IS risks into enterprise risk framework; consistent risk assessment methodologies; risk appetite alignment; operational resilience","MaRisk, BAIT, EBA Guidelines on ICT Risk Management","Risk assessment procedures (ISO 27005); risk treatment plans; risk register integration; regular risk reporting","Monthly risk committee meetings; quarterly risk reviews; incident escalation",Monthly,CRO
IP-006,Internal Audit,Internal,"Independent assurance function evaluating ISMS effectiveness","Independent verification of control effectiveness; audit rights and access; corrective action tracking; compliance with regulatory requirements","German Banking Act (KWG) §25a, MaRisk AT 4.4, IIA Standards","Annual ISMS audit program; control testing procedures; audit follow-up processes; compliance monitoring","Quarterly audit planning meetings; annual audit reports; ad-hoc consultation",Quarterly,Head of Internal Audit
IP-007,Compliance Department,Internal,"Ensures adherence to legal, regulatory, and internal requirements","Integration of regulatory requirements into ISMS; monitoring of legal changes; compliance reporting; sanctions and enforcement response","EU Financial Services Regulations, German Banking Act, Anti-Money Laundering Directive","Regulatory mapping matrix; compliance monitoring procedures; periodic compliance assessments; regulatory change management","Monthly compliance forums; quarterly regulatory updates; incident reporting",Monthly,Chief Compliance Officer
IP-008,IT Department / IT Operations,Internal,"Manages IT infrastructure, systems, and technology services (~200 staff)","Clear security requirements and baselines; operational security procedures; change management integration; incident response support; adequate tools and training","ISO 27001 Controls (A.5, A.8), ITIL frameworks, BAIT","Technical security standards; secure configuration baselines; change management procedures; security operations playbooks; security awareness training","Daily operations meetings; weekly change advisory board; incident response coordination",Weekly,CIO
IP-009,Human Resources,Internal,"Manages employee lifecycle, training, and organizational development","Security screening and background checks; security awareness training; acceptable use policies; disciplinary procedures for security violations; insider threat management","Employment Law, GDPR, Works Council agreements","HR security procedures; employment contracts with security clauses; mandatory security training program; disciplinary process","Quarterly HR-IS coordination meetings; annual training reviews; incident-based consultation",Quarterly,CHRO
IP-010,All Employees,Internal,"~5,000 staff across all locations and business units","Clear security policies and guidelines; security awareness and training; secure tools and systems; reporting mechanisms for incidents; protection from retaliation","Employment contracts, Works Council agreements, Code of Conduct","ISMS Policy framework; annual security awareness training; phishing simulations; secure communication tools; whistleblower hotline","Annual mandatory training; monthly security newsletters; intranet portal; town halls",Annual,CISO
